Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.1733, 'grad_norm': 3.2611522674560547, 'learning_rate': 1.9312897098316633e-05, 'epoch': 0.1}
{'loss': 1.233, 'grad_norm': 2.812948703765869, 'learning_rate': 1.9306347022990765e-05, 'epoch': 0.1}
{'loss': 1.1577, 'grad_norm': 2.807219982147217, 'learning_rate': 1.92997969476649e-05, 'epoch': 0.11}
{'loss': 1.2471, 'grad_norm': 3.1468393802642822, 'learning_rate': 1.929324687233903e-05, 'epoch': 0.11}
{'loss': 1.2833, 'grad_norm': 2.7859578132629395, 'learning_rate': 1.9286696797013167e-05, 'epoch': 0.11}
{'loss': 1.2019, 'grad_norm': 3.2569985389709473, 'learning_rate': 1.9280146721687302e-05, 'epoch': 0.11}
{'loss': 1.0701, 'grad_norm': 2.570294141769409, 'learning_rate': 1.9273596646361434e-05, 'epoch': 0.11}
{'loss': 1.0867, 'grad_norm': 2.4641215801239014, 'learning_rate': 1.926704657103557e-05, 'epoch': 0.11}
{'loss': 1.0918, 'grad_norm': 2.917830467224121, 'learning_rate': 1.92604964957097e-05, 'epoch': 0.11}
{'loss': 1.1114, 'grad_norm': 2.8565139770507812, 'learning_rate': 1.9253946420383835e-05, 'epoch': 0.11}
{'loss': 1.1798, 'grad_norm': 3.050067663192749, 'learning_rate': 1.924739634505797e-05, 'epoch': 0.11}
{'loss': 1.1322, 'grad_norm': 2.6787219047546387, 'learning_rate': 1.9240846269732102e-05, 'epoch': 0.11}
{'loss': 1.1329, 'grad_norm': 3.4087412357330322, 'learning_rate': 1.9234296194406237e-05, 'epoch': 0.11}
{'loss': 1.1773, 'grad_norm': 4.448341369628906, 'learning_rate': 1.922774611908037e-05, 'epoch': 0.12}
{'loss': 1.1397, 'grad_norm': 4.630489826202393, 'learning_rate': 1.9221196043754504e-05, 'epoch': 0.12}
{'loss': 1.2581, 'grad_norm': 2.7762997150421143, 'learning_rate': 1.921464596842864e-05, 'epoch': 0.12}
{'loss': 1.2818, 'grad_norm': 2.7158010005950928, 'learning_rate': 1.920809589310277e-05, 'epoch': 0.12}
{'loss': 1.1239, 'grad_norm': 3.058408737182617, 'learning_rate': 1.9201545817776906e-05, 'epoch': 0.12}
{'loss': 1.1709, 'grad_norm': 3.0502281188964844, 'learning_rate': 1.9194995742451037e-05, 'epoch': 0.12}
{'loss': 1.1642, 'grad_norm': 2.594168186187744, 'learning_rate': 1.9188445667125173e-05, 'epoch': 0.12}
{'loss': 1.1326, 'grad_norm': 2.5408763885498047, 'learning_rate': 1.9181895591799308e-05, 'epoch': 0.12}
{'loss': 1.0959, 'grad_norm': 2.35591721534729, 'learning_rate': 1.917534551647344e-05, 'epoch': 0.12}
{'loss': 1.0858, 'grad_norm': 2.6667075157165527, 'learning_rate': 1.9168795441147574e-05, 'epoch': 0.12}
{'loss': 1.1285, 'grad_norm': 3.4605932235717773, 'learning_rate': 1.916224536582171e-05, 'epoch': 0.13}
{'loss': 1.2179, 'grad_norm': 3.0623161792755127, 'learning_rate': 1.915569529049584e-05, 'epoch': 0.13}
{'loss': 1.2569, 'grad_norm': 3.549879789352417, 'learning_rate': 1.9149145215169976e-05, 'epoch': 0.13}
{'loss': 1.149, 'grad_norm': 3.4468142986297607, 'learning_rate': 1.9142595139844108e-05, 'epoch': 0.13}
{'loss': 1.0908, 'grad_norm': 2.5075886249542236, 'learning_rate': 1.9136045064518243e-05, 'epoch': 0.13}
{'loss': 1.1979, 'grad_norm': 4.442019462585449, 'learning_rate': 1.9129494989192378e-05, 'epoch': 0.13}
{'loss': 1.19, 'grad_norm': 3.316640853881836, 'learning_rate': 1.912294491386651e-05, 'epoch': 0.13}
{'loss': 1.2035, 'grad_norm': 2.631960868835449, 'learning_rate': 1.9116394838540645e-05, 'epoch': 0.13}
{'loss': 1.1317, 'grad_norm': 2.5351245403289795, 'learning_rate': 1.9109844763214776e-05, 'epoch': 0.13}
{'loss': 1.1233, 'grad_norm': 2.594813823699951, 'learning_rate': 1.910329468788891e-05, 'epoch': 0.13}
{'loss': 1.095, 'grad_norm': 2.377180337905884, 'learning_rate': 1.9096744612563047e-05, 'epoch': 0.14}
{'loss': 1.1974, 'grad_norm': 2.9019856452941895, 'learning_rate': 1.9090194537237178e-05, 'epoch': 0.14}
{'loss': 1.2301, 'grad_norm': 2.9633283615112305, 'learning_rate': 1.9083644461911313e-05, 'epoch': 0.14}
{'loss': 1.168, 'grad_norm': 7.556848049163818, 'learning_rate': 1.9077094386585445e-05, 'epoch': 0.14}
{'loss': 1.0859, 'grad_norm': 2.6413466930389404, 'learning_rate': 1.907054431125958e-05, 'epoch': 0.14}
{'loss': 1.2221, 'grad_norm': 2.7803475856781006, 'learning_rate': 1.9063994235933715e-05, 'epoch': 0.14}
{'loss': 1.2056, 'grad_norm': 4.910373687744141, 'learning_rate': 1.9057444160607847e-05, 'epoch': 0.14}
{'loss': 1.1561, 'grad_norm': 2.948387622833252, 'learning_rate': 1.9050894085281982e-05, 'epoch': 0.14}
