Instruction datasets written to data/instruct
[Tue Nov 25 23:19:55 EST 2025] Step 2a: Training LoRA (TinyLlama-1.1B-Chat-v1.0 on medqa)...
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 0.9601, 'grad_norm': 2.3734242916107178, 'learning_rate': 1.9168795441147574e-05, 'epoch': 0.12}
{'loss': 0.9907, 'grad_norm': 3.077972888946533, 'learning_rate': 1.916224536582171e-05, 'epoch': 0.13}
{'loss': 1.0697, 'grad_norm': 2.6905324459075928, 'learning_rate': 1.915569529049584e-05, 'epoch': 0.13}
{'loss': 1.1096, 'grad_norm': 2.7238433361053467, 'learning_rate': 1.9149145215169976e-05, 'epoch': 0.13}
{'loss': 1.0009, 'grad_norm': 2.933091878890991, 'learning_rate': 1.9142595139844108e-05, 'epoch': 0.13}
{'loss': 0.9739, 'grad_norm': 2.213003396987915, 'learning_rate': 1.9136045064518243e-05, 'epoch': 0.13}
{'loss': 1.0424, 'grad_norm': 3.902190685272217, 'learning_rate': 1.9129494989192378e-05, 'epoch': 0.13}
{'loss': 1.0354, 'grad_norm': 2.731491804122925, 'learning_rate': 1.912294491386651e-05, 'epoch': 0.13}
{'loss': 1.0542, 'grad_norm': 2.2521791458129883, 'learning_rate': 1.9116394838540645e-05, 'epoch': 0.13}
{'loss': 1.0018, 'grad_norm': 2.3627495765686035, 'learning_rate': 1.9109844763214776e-05, 'epoch': 0.13}
{'loss': 0.9897, 'grad_norm': 2.335658550262451, 'learning_rate': 1.910329468788891e-05, 'epoch': 0.13}
{'loss': 0.9793, 'grad_norm': 2.157505989074707, 'learning_rate': 1.9096744612563047e-05, 'epoch': 0.14}
{'loss': 1.0703, 'grad_norm': 2.50468111038208, 'learning_rate': 1.9090194537237178e-05, 'epoch': 0.14}
{'loss': 1.0944, 'grad_norm': 2.540377378463745, 'learning_rate': 1.9083644461911313e-05, 'epoch': 0.14}
{'loss': 1.0071, 'grad_norm': 6.8977789878845215, 'learning_rate': 1.9077094386585445e-05, 'epoch': 0.14}
{'loss': 0.9549, 'grad_norm': 2.364137887954712, 'learning_rate': 1.907054431125958e-05, 'epoch': 0.14}
{'loss': 1.0792, 'grad_norm': 2.352736473083496, 'learning_rate': 1.9063994235933715e-05, 'epoch': 0.14}
{'loss': 1.0865, 'grad_norm': 4.615480899810791, 'learning_rate': 1.9057444160607847e-05, 'epoch': 0.14}
{'loss': 1.0316, 'grad_norm': 2.581120729446411, 'learning_rate': 1.9050894085281982e-05, 'epoch': 0.14}
{'loss': 0.9805, 'grad_norm': 2.8575191497802734, 'learning_rate': 1.9044344009956114e-05, 'epoch': 0.14}
{'loss': 1.16, 'grad_norm': 3.719935655593872, 'learning_rate': 1.903779393463025e-05, 'epoch': 0.14}
{'loss': 1.0358, 'grad_norm': 2.8983888626098633, 'learning_rate': 1.9031243859304384e-05, 'epoch': 0.15}
{'loss': 1.0708, 'grad_norm': 2.870065450668335, 'learning_rate': 1.902469378397852e-05, 'epoch': 0.15}
{'loss': 0.9739, 'grad_norm': 3.005635976791382, 'learning_rate': 1.901814370865265e-05, 'epoch': 0.15}
{'loss': 1.0508, 'grad_norm': 2.320744752883911, 'learning_rate': 1.9011593633326786e-05, 'epoch': 0.15}
{'loss': 1.0299, 'grad_norm': 2.462963342666626, 'learning_rate': 1.900504355800092e-05, 'epoch': 0.15}
{'loss': 1.009, 'grad_norm': 2.3737571239471436, 'learning_rate': 1.8998493482675052e-05, 'epoch': 0.15}
{'loss': 1.0349, 'grad_norm': 2.6425440311431885, 'learning_rate': 1.8991943407349187e-05, 'epoch': 0.15}
{'loss': 1.0321, 'grad_norm': 2.4920434951782227, 'learning_rate': 1.898539333202332e-05, 'epoch': 0.15}
{'loss': 1.027, 'grad_norm': 3.2039029598236084, 'learning_rate': 1.8978843256697454e-05, 'epoch': 0.15}
{'loss': 1.1621, 'grad_norm': 2.4405930042266846, 'learning_rate': 1.897229318137159e-05, 'epoch': 0.15}
{'loss': 1.0701, 'grad_norm': 3.059067964553833, 'learning_rate': 1.896574310604572e-05, 'epoch': 0.16}
{'loss': 0.9786, 'grad_norm': 2.1257524490356445, 'learning_rate': 1.8959193030719856e-05, 'epoch': 0.16}
{'loss': 1.0196, 'grad_norm': 2.5434021949768066, 'learning_rate': 1.895264295539399e-05, 'epoch': 0.16}
{'loss': 1.0025, 'grad_norm': 2.610163688659668, 'learning_rate': 1.8946092880068123e-05, 'epoch': 0.16}
